filename,predict_1,confidence_1,predict_2,confidence_2,predict_3,confidence_3
test_images\03997.jpg,Dodge Ram Pickup 3500 Crew Cab 2010,0.76888335,GMC Canyon Extended Cab 2012,0.066311866,Dodge Ram Pickup 3500 Quad Cab 2009,0.025933176
test_images\03998.jpg,Buick Verano Sedan 2012,0.7660866,Acura ZDX Hatchback 2012,0.526272,Cadillac CTS-V Sedan 2012,0.087031245
test_images\03999.jpg,Ford GT Coupe 2006,0.8348857,Chevrolet Corvette Convertible 2012,0.3095346,Rolls-Royce Phantom Drophead Coupe Convertible 2012,0.082749516
test_images\04000.jpg,Dodge Dakota Crew Cab 2010,0.6961402,Dodge Dakota Club Cab 2007,0.4793057,Dodge Ram Pickup 3500 Quad Cab 2009,0.16633296
test_images\04001.jpg,Volkswagen Beetle Hatchback 2012,0.7788162,Bentley Continental GT Coupe 2007,0.07354209,Bentley Continental Flying Spur Sedan 2007,0.049438745
test_images\04002.jpg,Chevrolet Avalanche Crew Cab 2012,0.7283138,Chevrolet Tahoe Hybrid SUV 2012,0.5481567,GMC Yukon Hybrid SUV 2012,0.2851919
test_images\04003.jpg,Mercedes-Benz Sprinter Van 2012,0.77990884,Dodge Sprinter Cargo Van 2009,0.24193522,Ford E-Series Wagon Van 2012,0.13422558
test_images\04004.jpg,Ford Ranger SuperCab 2011,0.64818424,Buick Rainier SUV 2007,0.39926058,Jeep Liberty SUV 2012,0.12908968
test_images\04005.jpg,Nissan Leaf Hatchback 2012,0.45023215,Porsche Panamera Sedan 2012,0.24474272,FIAT 500 Abarth 2012,0.22817066
test_images\04006.jpg,Audi 100 Sedan 1994,0.8498124,Mercedes-Benz 300-Class Convertible 1993,0.37662917,Dodge Dakota Club Cab 2007,0.14330453
test_images\04007.jpg,GMC Savana Van 2012,0.61112106,Ford E-Series Wagon Van 2012,0.5342287,Chevrolet Silverado 1500 Classic Extended Cab 2007,0.27447718
test_images\04008.jpg,GMC Savana Van 2012,0.8133595,Chevrolet Express Cargo Van 2007,0.28656235,Chevrolet Express Van 2007,0.16091967
test_images\04009.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007,0.62532645,Chevrolet Corvette ZR1 2012,0.40154874,Chevrolet Corvette Convertible 2012,0.12304711
test_images\04010.jpg,Fisker Karma Sedan 2012,0.16956794,Aston Martin Virage Coupe 2012,0.11522567,Chevrolet Corvette Ron Fellows Edition Z06 2007,0.09625575
test_images\04011.jpg,Cadillac CTS-V Sedan 2012,0.9035704,Chevrolet Malibu Hybrid Sedan 2010,0.24853343,Cadillac SRX SUV 2012,0.0116043985
test_images\04012.jpg,Acura TSX Sedan 2012,0.88389987,Buick Verano Sedan 2012,0.03817898,Acura ZDX Hatchback 2012,0.032779723
test_images\04013.jpg,Mercedes-Benz 300-Class Convertible 1993,0.5272885,Daewoo Nubira Wagon 2002,0.034264296,Bentley Arnage Sedan 2009,0.021139026
test_images\04014.jpg,Hyundai Veloster Hatchback 2012,0.9651507,Ferrari FF Coupe 2012,0.28625107,Ferrari California Convertible 2012,0.030185103
test_images\04015.jpg,Dodge Caravan Minivan 1997,0.97505397,Toyota Corolla Sedan 2012,0.0804463,Hyundai Elantra Sedan 2007,0.03694412
test_images\04016.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007,0.29534155,Chevrolet Corvette Convertible 2012,0.22545302,Lamborghini Diablo Coupe 2001,0.015170962
test_images\04017.jpg,GMC Acadia SUV 2012,0.4440169,Cadillac SRX SUV 2012,0.40001762,Dodge Caliber Wagon 2007,0.04563999
test_images\04018.jpg,Acura Integra Type R 2001,0.6169628,Daewoo Nubira Wagon 2002,0.1488455,Chevrolet Cobalt SS 2010,0.09684485
test_images\04019.jpg,Chrysler Town and Country Minivan 2012,0.9491259,Buick Rainier SUV 2007,0.051432014,Honda Odyssey Minivan 2007,0.03932485
test_images\04020.jpg,Chevrolet HHR SS 2010,0.73953897,Chevrolet TrailBlazer SS 2009,0.15333045,Rolls-Royce Phantom Sedan 2012,0.10478306
test_images\04021.jpg,Audi A5 Coupe 2012,0.58368963,Chrysler 300 SRT-8 2010,0.16465253,Audi R8 Coupe 2012,0.15300778
test_images\04022.jpg,Dodge Dakota Club Cab 2007,0.8956914,Dodge Dakota Crew Cab 2010,0.039225906,Chevrolet Silverado 1500 Extended Cab 2012,0.020852983
test_images\04023.jpg,Hyundai Genesis Sedan 2012,0.63616955,Mercedes-Benz E-Class Sedan 2012,0.23828492,Hyundai Azera Sedan 2012,0.13938308
test_images\04024.jpg,Honda Accord Sedan 2012,0.48045224,Honda Accord Coupe 2012,0.10890457,Acura RL Sedan 2012,0.10132104
test_images\04025.jpg,Fisker Karma Sedan 2012,0.80023754,Porsche Panamera Sedan 2012,0.45542765,Aston Martin Virage Coupe 2012,0.16753641
test_images\04026.jpg,Bentley Mulsanne Sedan 2011,0.95664644,Bentley Continental Supersports Conv. Convertible 2012,0.2656824,Dodge Charger SRT-8 2009,0.08289847
test_images\04027.jpg,Ram C/V Cargo Van Minivan 2012,0.12483534,Toyota 4Runner SUV 2012,0.10739344,Ford Edge SUV 2012,0.067874074
test_images\04028.jpg,GMC Terrain SUV 2012,0.9849384,Chrysler 300 SRT-8 2010,0.028412849,Jeep Grand Cherokee SUV 2012,0.01687634
test_images\04029.jpg,Mercedes-Benz 300-Class Convertible 1993,0.8368685,Audi V8 Sedan 1994,0.079588056,Audi 100 Sedan 1994,0.062480062
test_images\04030.jpg,Dodge Charger SRT-8 2009,0.5990865,Bentley Mulsanne Sedan 2011,0.2508515,Rolls-Royce Ghost Sedan 2012,0.16811189
test_images\04031.jpg,HUMMER H2 SUT Crew Cab 2009,0.7387447,HUMMER H3T Crew Cab 2010,0.30495232,AM General Hummer SUV 2000,0.012312591
test_images\04032.jpg,Bentley Continental Flying Spur Sedan 2007,0.9581395,Bentley Mulsanne Sedan 2011,0.4809739,Bentley Continental GT Coupe 2007,0.11394483
test_images\04033.jpg,Honda Odyssey Minivan 2007,0.8233074,Chrysler Town and Country Minivan 2012,0.22606122,BMW 3 Series Wagon 2012,0.0916363
test_images\04034.jpg,Suzuki Kizashi Sedan 2012,0.4518412,Porsche Panamera Sedan 2012,0.12560618,Chevrolet Cobalt SS 2010,0.09580904
test_images\04035.jpg,Jeep Grand Cherokee SUV 2012,0.90798163,Jeep Compass SUV 2012,0.29611576,Dodge Ram Pickup 3500 Crew Cab 2010,0.049144328
test_images\04036.jpg,GMC Savana Van 2012,0.8543963,Chevrolet Express Van 2007,0.10154444,Chevrolet Express Cargo Van 2007,0.074281424
test_images\04037.jpg,Dodge Charger Sedan 2012,0.7974186,Dodge Challenger SRT8 2011,0.088299125,Aston Martin Virage Coupe 2012,0.016356587
test_images\04038.jpg,Maybach Landaulet Convertible 2012,0.45334554,FIAT 500 Abarth 2012,0.31159782,Porsche Panamera Sedan 2012,0.2835399
test_images\04039.jpg,Volvo 240 Sedan 1993,0.9361093,Rolls-Royce Phantom Drophead Coupe Convertible 2012,0.06958875,Rolls-Royce Phantom Sedan 2012,0.018081665
test_images\04040.jpg,Ford E-Series Wagon Van 2012,0.32619104,Chrysler Aspen SUV 2009,0.23954836,Ford Freestar Minivan 2007,0.2276218
test_images\04041.jpg,Chrysler PT Cruiser Convertible 2008,0.6209004,Ford Ranger SuperCab 2011,0.09354895,MINI Cooper Roadster Convertible 2012,0.087076545
test_images\04042.jpg,Honda Accord Sedan 2012,0.7291544,Honda Accord Coupe 2012,0.290104,Chrysler Sebring Convertible 2010,0.1430251
